id,source_id,set_id,updated_at
onepiece:optcg:OP12-028:ja,OP12-028,P,2026-06-14 11:17:04.532532+00
onepiece:optcg:OP12-031:ja,OP12-031,P,2026-06-14 11:17:04.532532+00
onepiece:optcg:OP12-062:ja,OP12-062,P,2026-06-14 11:17:04.532532+00
onepiece:optcg:OP12-093:ja,OP12-093,P,2026-06-14 11:17:04.532532+00
onepiece:optcg:OP12-112:ja,OP12-112,P,2026-06-14 11:17:04.687296+00
onepiece:optcg:OP14-033:ja,OP14-033,P,2026-06-14 11:17:06.534702+00
onepiece:optcg:P-001:ja,P-001,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-001:en,P-001,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-002:ja,P-002,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-002:en,P-002,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-003:en,P-003,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-003:ja,P-003,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-004:en,P-004,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-004:ja,P-004,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-005:en,P-005,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-005:ja,P-005,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-006:en,P-006,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-006:ja,P-006,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-007:en,P-007,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-007:ja,P-007,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-008:ja,P-008,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-008:en,P-008,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-009:ja,P-009,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-009:en,P-009,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-010:ja,P-010,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-010:en,P-010,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-011:ja,P-011,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-011:en,P-011,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-012:en,P-012,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-012:ja,P-012,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-013:en,P-013,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-013:ja,P-013,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-014:en,P-014,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-014:ja,P-014,P,2026-06-15 22:12:10.936817+00
onepiece:optcg:P-015:en,P-015,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-015:ja,P-015,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-016:en,P-016,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-016:ja,P-016,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-017:en,P-017,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-017:ja,P-017,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-018:ja,P-018,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-018:en,P-018,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-019:en,P-019,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-019:ja,P-019,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-020:en,P-020,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-020:ja,P-020,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-021:ja,P-021,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-021:en,P-021,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-022:en,P-022,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-022:ja,P-022,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-023:ja,P-023,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-023:en,P-023,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-024:en,P-024,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-024:ja,P-024,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-025:ja,P-025,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-025:en,P-025,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-026:ja,P-026,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-026:en,P-026,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-027:ja,P-027,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-027:en,P-027,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-028:ja,P-028,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-028:en,P-028,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-029:ja,P-029,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:P-030:ja,P-030,P,2026-06-15 17:15:56.420159+00
onepiece:optcg:P-031:ja,P-031,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-031:en,P-031,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-032:en,P-032,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-032:ja,P-032,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-033:ja,P-033,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-033:en,P-033,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-034:en,P-034,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-034:ja,P-034,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-035:ja,P-035,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-035:en,P-035,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-036:en,P-036,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-036:ja,P-036,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-037:en,P-037,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-037:ja,P-037,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-038:en,P-038,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-039:ja,P-039,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-039:en,P-039,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-041:ja,P-041,P,2026-06-15 17:15:55.525524+00
onepiece:optcg:P-042:en,P-042,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-042:ja,P-042,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-043:en,P-043,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-043:ja,P-043,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-044:en,P-044,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-045:ja,P-045,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-045:en,P-045,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-046:ja,P-046,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-046:en,P-046,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-047:ja,P-047,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-047:en,P-047,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-048:en,P-048,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-048:ja,P-048,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-049:ja,P-049,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-049:en,P-049,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-050:ja,P-050,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-050:en,P-050,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-051:ja,P-051,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-051:en,P-051,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-052:en,P-052,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-052:ja,P-052,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-053:en,P-053,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-053:ja,P-053,P,2026-06-15 22:12:10.936817+00
onepiece:optcg:P-054:ja,P-054,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-054:en,P-054,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-055:en,P-055,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-055:ja,P-055,P,2026-06-15 22:12:10.936817+00
onepiece:optcg:P-056:en,P-056,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-056:ja,P-056,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-057:ja,P-057,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:P-058:ja,P-058,P,2026-06-15 17:15:57.479419+00
